,Unnamed: 0,id,City,Address,lat,lon,Zipcode,average_rate_per_night,bedrooms_count,city,date_of_listing,description,latitude,longitude,title,url
33,36,51,San Antonio,"Connally Loop, San Antonio, Bexar County, Texas, 78217, USA",29.51605277,-98.43504461,78217,$450 ,5,San Antonio,9/1/2016,Morning Star has an elegance of \,29.51605277,-98.43504461,Welcome to MORNING STAR,https://www.airbnb.com/rooms/17714313?location=Cibolo%2C%20TX
34,37,52,Allen,"412, Irvine Drive, Watters Creek, Allen, Collin County, Texas, 75013, USA",33.09533497,-96.70009475,75013,$300 ,4,Allen,5/1/2015,"My home is in a very family oriented neighborhood with access to major highways (2 miles to 75 and 4 miles to 121); 45 minutes to DFW and Dallas Love airports and 45 minutes to downtown Dallas. Enjoy an amazing range of shopping within 10-20 minutes - Premium Outlet Mall, Stonebriar Mall and Watters Creek. Great for couples, solo adventurers, business travelers and families (with kids). NO PARTIES!",33.09533497,-96.70009475,Beautiful 4 Br/4 Ba Home Near Major Highways,https://www.airbnb.com/rooms/9793383?location=Celina%2C%20TX
35,38,53,Bandera,"415, 1st Street, Bandera, Bandera County, Texas, 78003, USA",29.717039,-99.08212066,78003,$207 ,2,Bandera,5/1/2014,"2 bedroom house. Sleeps 6 total. 2 Twin Sleeper Futons in living room. First bedroom has a King bed, Walk in closet, and an electric fire place. Second bedroom has a Queen size bed. Full Kitchen with Stove, Refrigeratior/Icemaker, Microwave, Toaster, Coffeepot, Utensils, Plates, Cookware. Shower. Linens and Towels provided. Dish TV. Window AC/Heat. Downtown Bandera, TX. No Pets. No Smoking Inside Accommodation. Ferral Cats live on property and are fed.",29.717039,-99.08212066,Hackberry House,https://www.airbnb.com/rooms/14471311?location=Center%20Point%2C%20TX
36,39,54,Humble,"7698, Desco Drive, Bordersville, Harris County, Texas, 77338, USA",30.01937977,-95.30818795,77338,$100 ,2,Humble,1/1/2016,"My home, built in 2016, is 5 min from the airport in a quiet neighborhood. You will have the entire second story to yourself, with 2BR, couch, 70 in tv, full bed, inflatable queen mattress and bathroom. It is 15 min away from downtown and 30 min away from NRG. Minutes away from restaurants, mall, grocery store and 24 hr emergency room. Other amenities include a gym w/ treadmill and erg machine. We have a crate-trained German shepherd which will be limited to the 1st floor master and backyard.",30.01937977,-95.30818795,Cozy Second floor to yourself minutes from IAH,https://www.airbnb.com/rooms/16925131?location=Cleveland%2C%20TX
37,40,55,San Antonio,"Adobe Long House, East César E. Chávez Boulevard, Lavaca, San Antonio, Bexar County, Texas, 78206, USA",29.41542956,-98.48159614,78206,$105 ,2,San Antonio,6/1/2017,"A cozy apartment located in downtown San Antonio. This space is within walking distance to the Convention Center, Hemisfair Park, and the Alamodome. It is also located near the Southtown District, which features an array of restaurants, bars, and shops. Enjoy the close public park that has a baseball field, large playground, and picnic tables. We offer guests FREE pick up and drop-off from the San Antonio International Airport. There is also ample street parking, or use bike-share rack.",29.41542956,-98.48159614,Downtown Apartment located near Convention Center,https://www.airbnb.com/rooms/19065840?location=Alamo%20Heights%2C%20TX
38,41,56,Humble,"Pearson Carpet Care, 525, North Houston Avenue, Humble, Harris County, Texas, 77338, USA",30.00094259,-95.25816793,77338,$81 ,3,Humble,1/1/2017,"Entire 3 bedroom/2 full bath home in a quiet neighborhood. Third bedroom area furnished for office space for work/communication. Large driveway with private parking for 6 vehicles or RV.\n5 Miles to IAH, family activities, some great restaurants. Blocks from US 59, NE Medical Center/Kingwood Medical Center. Great for couples, solo adventurers, business travelers, and families.\n**Mondays and Thursdays are blocked for bookings - NOTE: these nights, I can often make exceptions for extended stays.**",30.00094259,-95.25816793,Entire home 5 Miles From IAH Blocks from Hwy 59/69,https://www.airbnb.com/rooms/17006337?location=Cleveland%2C%20TX
39,42,57,Fort Worth,"Amaranth Drive, Fort Worth, Tarrant County, Texas, 76428, USA",32.91753279,-97.33690001,76428,$40 ,1,Fort Worth,4/1/2017,"Warm, Cozy house located in North of Fort Worth with family-friendly and safe environment close to shopping and restaurants. Conveniently located in Alliance/North Fort Worth, 5 minutes drive to I35, Alliance Town Center and 15 minutes drive to Fort Worth downtown.\n\nLooking for long term single student/professional renters and no pets/smoking allowed.",32.91753279,-97.33690001,"Warm, Cozy Private Room in North Fort Worth",https://www.airbnb.com/rooms/18359567?location=Colleyville%2C%20TX
40,43,58,Katy,"2733, Sable Ridge Lane, Parkway Oaks, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75028228,-95.79191395,77494,$120 ,3,Katy,4/1/2017,"Bienvenidos! This gorgeous one-story home offers 3 bedrooms, 2 bathrooms and a 2-car garage. The elegant plan features a study room equipped with a sofa bed, gorgeous kitchen and great living space with TV (netflix included). It is tailored for all. We are located in Katy, TX, in close proximity to Katy Mills Shopping Mall, Houston Premium Outlets, Typhoon Water Park, energy corridor, and new hospital area. We sincerely hope you will have a wonderful and profitable stay in our dear town of Katy.",29.75028228,-95.79191395,Lovely Katy Home (3BR/2B) - Fantastic Location,https://www.airbnb.com/rooms/19387030?location=Cinco%20Ranch%2C%20TX
41,44,59,Irving,"Irving, Dallas County, Texas, 75039, USA",32.88088953,-96.94281767,75039,$59 ,1,Irving,10/1/2015,"Welcome to your happy place - a newly renovated, well lit and furnished private bedroom with bath/shower over tub and accompanying closet area. Located in the heart of Las Colinas, a great neighborhood - quiet and surrounded by the lake. Guests from all backgrounds are most welcome here. Complimentary guest parking available. Good access to the highway - 2mins away.",32.88088953,-96.94281767,Luxury Private Bedroom & Bath in Las Colinas,https://www.airbnb.com/rooms/18180466?location=Carrollton%2C%20TX
42,45,61,Katy,"25546, Saddlebrook Way, Cinco Ranch, Fort Bend County, Texas, 77494, USA",29.75547877,-95.78899633,77494,$30 ,1,Katy,6/1/2016,"My place is good for couples, solo adventurers, business travelers, and families (with kids).",29.75547877,-95.78899633,Charming private room in gated community in Katy,https://www.airbnb.com/rooms/16016475?location=Cinco%20Ranch%2C%20TX
43,46,62,League City,"846, Davis Road, League City, Galveston County, Texas, 77573, USA",29.53971075,-95.07518536,77573,$199 ,3,League City,5/1/2013,"Cozy Water View Lodge w/ Pool (3/3.5)\nGreat sunset views of Clear Lake from every window and day views from the back with a deck overlooking the pool. Bring your kayaks, jet ski's or use our 40 ft boat slip. You’ll love our place because of the coziness, the views, the high ceilings and the kitchen. It's great for couples, solo adventurers, business travelers, families (with kids), or groups.",29.53971075,-95.07518536,Cozy with a Water View,https://www.airbnb.com/rooms/15732481?location=Clear%20Lake%20Shores%2C%20TX
44,47,66,Conroe,"754, Stonewall Jackson Drive, River Plantation, Montgomery County, Texas, 77302, USA",30.244725800000005,-95.43822709999999,77302,$800 ,1,Conroe,1/1/2017,Beautiful quiet neighborhood right across the street from a park on a golf course. Private parking and only 45 minutes away from NRG Stadium. Perfect place to relax and unwind. Only 10 minutes away from tons of dine in and take out restaurants.,30.244725800000005,-95.43822709999999,Home right off of golf course,https://www.airbnb.com/rooms/16954892?location=Conroe%2C%20TX
45,48,67,San Antonio,"4336, Dauphine Drive, San Antonio, Bexar County, Texas, 78218, USA",29.48241384,-98.41001528,78218,$40 ,1,San Antonio,5/1/2016,"Make yourself at home in this double size bedroom suite with private entrance. \n\n 3 min from I-35. 10 min to downtown San Antonio, 15 min to the airport, 20 min to Six Flags, Sea World.",29.48241384,-98.41001528,Family Suite with private entrance,https://www.airbnb.com/rooms/16353972?location=Cibolo%2C%20TX
46,49,69,Concan,"Mountain Valley Road, Third Crossing, Uvalde County, Texas, 78838, USA",29.53213067,-99.69302161,78838,"$1,083 ",4,Concan,2/1/2016,"Little Blanco is a gorgeous vacation rental house located in Concan, Texas. It is in the beautiful 18 hole golf course in Concan. It is also on one of the highest points of the Golf Course. It has over 4342 sq. ft. of livable space for you and your guests. It has 4 bedrooms and 4 bathrooms and sleeps 28 people. It is a single level home.",29.53213067,-99.69302161,Little Blanco,https://www.airbnb.com/rooms/17808720?location=Concan%2C%20TX
47,50,71,Austin,"507, West Alpine Road, Dawson, Austin, Travis County, Texas, 78704, USA",30.23038507,-97.76581095,78704,$130 ,1,Austin,3/1/2014,"*Not an actual Treehouse\n\nWelcome to my spacious 1 bedroom apartment located on the 2nd floor. Huge windows, a working fireplace, laminate hardwood floors, wifi, and a comfortable queen size bed are just a few perks this great space offers. I offer a self check-in so you are welcome to arrive anytime after the check-in time that's convenient for you.",30.23038507,-97.76581095,Treehouse Oasis with 2 bikes,https://www.airbnb.com/rooms/4279079?location=Colorado%20River%2C%20TX
48,51,72,San Antonio,"8783, Tesoro Drive, San Antonio, Bexar County, Texas, 78217, USA",29.52007905,-98.45505578,78217,$22 ,1,San Antonio,4/1/2015,"My place is close to the airport. The bed is located in the front room but is closed off from the rest of the house and people traffic. You’ll love my place because of the neighborhood and the kitchen. My place is good for solo adventurers. \nPrivate room for rent, located in an established neighborhood with quick access to Loop 410, US 281 and IH-35. Only 5 minutes from the airport, 10 minutes to BAMC, and 15 to the UTHSCSA. It's perfect for anyone visiting for a short stay.",29.52007905,-98.45505578,Airport Trundle bed with shared bath,https://www.airbnb.com/rooms/13276148?location=Cibolo%2C%20TX
49,52,75,Spring,"23206, Hill Creek Road, Harris County, Texas, 77373, USA",30.05041737,-95.34459326,77373,$115 ,3,Spring,10/1/2016,"Perfect for 1 week or longer stay. 3 bedrooms, the master has a private bath &amp; the others share a bath. The deck area has a very private feel to enjoy a beverage, smoke or to fellowship with one another.",30.05041737,-95.34459326,Perfect for 1 week or longer stay.,https://www.airbnb.com/rooms/15763855?location=Cleveland%2C%20TX
50,53,79,College Station,"2977, Normand Drive, Southwood Valley, College Station, Brazos County, Texas, 77845, USA",30.58726186,-96.29515158,77845,$300 ,2,College Station,10/1/2016,"My place is close to TAMU Campus. You’ll love my place because of the kitchen, the high ceilings, and the location. My place is good for couples, business travelers, and families (with kids).",30.58726186,-96.29515158,Gameday Sleepover,https://www.airbnb.com/rooms/15375359?location=College%20Station%2C%20TX
51,54,81,College Station,"2385, Colgate Circle, Castle Rock Apartments, College Station, Brazos County, Texas, 77840, USA",30.6133901,-96.30687282,77840,$800 ,2,College Station,9/1/2016,"My place is close to Parks, Kyle Field, Restaurants . You’ll love my place because of the location and the outdoors space. My place is good for couples, solo adventurers, business travelers, families (with kids), big groups, and furry friends (pets).",30.6133901,-96.30687282,3 Bedroom Home. (2 Private Rooms for Rental),https://www.airbnb.com/rooms/15189493?location=College%20Station%2C%20TX
